Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0,0,12,4,4,26,10,119,1,35,69,28,49,0,0,3,3,4,0,7,462,0,21,7,4,8,0,0,4,302,220,0,106,5,207,51,135,3,54,0,0,1,2,2,0,70,1,2,11,13,0,0,12,4,49,14,4,81,34,13,16,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Goodware,0,0,0,6,1,0,0,42,0,0,22,0,0,0,0,0,0,6,2,6,75,0,18,3,0,0,1,0,0,63,230,0,54,18,20,1,82,0,23,0,0,0,2,0,0,33,0,3,0,0,0,0,6,6,3,9,0,25,11,7,7,0,0,0
Goodware,0,0,239,13,48,733,37,1270,6,103,366,89,15,4,4,2,2,19,12,34,1122,12,37,8,22,40,11,0,2,1222,51,0,440,241,485,359,1577,139,782,0,1,100,35,41,18,483,123,241,56,197,1,0,235,13,355,31,2,345,73,28,231,0,0,0
Goodware,0,0,110,0,16,686,19,282,13,82,256,42,9,2,2,2,2,0,299,6,628,298,303,0,4,8,0,0,0,687,0,0,962,2419,317,543,350,343,474,3,0,16,297,0,0,625,43,298,107,61,3,0,310,0,91,88,0,456,54,1,311,0,0,7
Goodware,0,2,45,38,4,21,7,340,0,31,16,19,2,0,0,16,10,12,1,12,260,1,12,2,4,8,2,0,2,326,4,1,93,47,283,62,387,0,2661,3,1,49,109,108,0,355,7,107,41,13,4,2,118,9,143,3,2,105,51,1,115,0,0,0
Goodware,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Goodware,0,0,84,22,45,32,28,1087,5,117,296,72,8,4,4,6,5,19,243,31,858,241,262,7,18,32,9,0,0,967,60,0,759,140,345,460,1114,271,624,2,0,57,264,18,18,859,41,250,68,20,2,0,257,22,617,99,0,458,72,12,253,0,0,0
Goodware,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
Goodware,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
Goodware,0,0,3,3,0,19,70,38,0,0,47,0,14,0,0,0,0,1,0,5,5,0,2,0,0,0,0,0,0,67,0,1,0,6,0,40,19,0,1,0,0,33,0,0,0,0,0,0,3,17,0,0,4,3,53,8,0,23,1,1,1,0,0,0
Goodware,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Goodware,0,0,0,4,0,160,4,65,0,0,65,0,2,0,0,42,42,2,0,20,13,0,11,2,0,0,0,0,0,90,15,2,1,6,0,19,11,0,131,0,0,33,0,1,0,0,0,0,0,53,0,0,5,4,58,8,0,59,2,1,2,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Goodware,0,0,9,0,1,30,8,7,1,35,7,28,12,0,0,0,0,0,0,5,176,0,12,1,4,8,0,0,0,135,0,0,115,26,147,118,551,11,42,0,0,2,0,0,0,98,1,4,8,20,0,0,10,0,14,8,0,79,33,1,9,0,0,4
Goodware,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodware,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
