Label,CopyFileA,CopyFileW,CreateDirectoryW,DeleteFileW,DeviceIoControl,FindFirstFileExW,GetFileAttributesExW,GetFileAttributesW,GetFileInformationByHandle,GetFileInformationByHandleEx,GetFileSize,GetFileSizeEx,GetFileType,GetFileVersionInfoExW,GetFileVersionInfoSizeExW,GetFileVersionInfoSizeW,GetFileVersionInfoW,GetShortPathNameW,GetSystemDirectoryA,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemWindowsDirectoryA,GetSystemWindowsDirectoryW,GetTempPathW,GetVolumeNameForVolumeMountPointW,GetVolumePathNamesForVolumeNameW,GetVolumePathNameW,InternetReadFile,MoveFileWithProgressW,NtCreateFile,NtDeviceIoControlFile,NtOpenDirectoryObject,NtOpenFile,NtQueryAttributesFile,NtQueryDirectoryFile,NtQueryInformationFile,NtReadFile,NtSetInformationFile,NtWriteFile,RemoveDirectoryA,RemoveDirectoryW,SearchPathW,SetEndOfFile,SetFileAttributesW,SetFileInformationByHandle,SetFilePointer,SetFilePointerEx,SetFileTime,SUMMARY_DIRECTORY_CREATED,SUMMARY_DIRECTORY_ENUMERATED,SUMMARY_DIRECTORY_REMOVED,SUMMARY_FILE_COPIED,SUMMARY_FILE_CREATED,SUMMARY_FILE_DELETED,SUMMARY_FILE_EXISTS,SUMMARY_FILE_FAILED,SUMMARY_FILE_MOVED,SUMMARY_FILE_OPENED,SUMMARY_FILE_READ,SUMMARY_FILE_RECREATED,SUMMARY_FILE_WRITTEN,URLDownloadToFileW,FindFirstFileExA,NtQueryFullAttributesFile
Goodware,0.0,0.0,14.0,6.0,30.0,128.0,23.0,3092.0,6.0,107.0,66.0,52.0,4.0,0.0,0.0,2.0,2.0,0.0,867.0,35.0,1270.0,0.0,20.0,128.0,8.0,16.0,13.0,0.0,0.0,796.0,0.0,0.0,167.0,95.0,624.0,138.0,1929.0,8.0,135.0,1.0,0.0,73.0,0.0,9.0,0.0,97.0,4.0,15.0,10.0,51.0,1.0,0.0,26.0,6.0,69.0,32.0,0.0,133.0,53.0,1.0,24.0,0.0,0.0,0.0
Goodware,0.0,0.0,1.0,0.0,8.0,0.0,16.0,49.0,0.0,23.0,2.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,297.0,0.0,3.0,0.0,4.0,8.0,0.0,0.0,0.0,212.0,0.0,1.0,25.0,47.0,136.0,12.0,48.0,3.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,91.0,25.0,0.0,1.0,0.0,0.0,0.0
Goodware,0.0,0.0,75.0,17.0,3.0,11.0,18.0,1244.0,3.0,39.0,8.0,33.0,0.0,0.0,0.0,2.0,2.0,0.0,381.0,2.0,271.0,380.0,387.0,0.0,4.0,8.0,0.0,0.0,0.0,570.0,0.0,0.0,781.0,8.0,196.0,401.0,408.0,379.0,498.0,3.0,0.0,4.0,379.0,0.0,0.0,792.0,1.0,378.0,75.0,9.0,3.0,0.0,388.0,17.0,854.0,70.0,0.0,462.0,40.0,1.0,388.0,0.0,0.0,0.0
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,0.0,9.0,11.0,3.0,145.0,12.0,177.0,2.0,41.0,9.0,35.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,3.0,256.0,6.0,14.0,0.0,4.0,8.0,0.0,0.0,0.0,189.0,0.0,0.0,31.0,16.0,190.0,23.0,295.0,4.0,287.0,3.0,0.0,5.0,5.0,0.0,0.0,35.0,1.0,4.0,9.0,13.0,3.0,0.0,11.0,11.0,34.0,5.0,0.0,81.0,35.0,1.0,11.0,0.0,0.0,0.0
Goodware,0.0,0.0,21.0,36.0,19.0,6.0,12.0,839.0,3.0,35.0,325.0,24.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,209.0,446.0,0.0,411.0,0.0,4.0,8.0,0.0,0.0,200.0,551.0,0.0,0.0,540.0,110.0,127.0,265.0,573.0,51.0,446.0,0.0,3.0,40.0,225.0,0.0,0.0,485.0,40.0,224.0,14.0,4.0,3.0,0.0,232.0,36.0,478.0,15.0,200.0,166.0,44.0,2.0,234.0,0.0,0.0,0.0
Goodware,0.0,0.0,31.0,14.0,22.0,14.0,15.0,568.0,3.0,58.0,329.0,40.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,117.0,674.0,0.0,222.0,0.0,4.0,8.0,0.0,0.0,105.0,550.0,0.0,0.0,359.0,116.0,304.0,186.0,478.0,43.0,404.0,0.0,3.0,42.0,107.0,0.0,0.0,265.0,41.0,106.0,24.0,12.0,3.0,0.0,114.0,14.0,308.0,20.0,105.0,195.0,65.0,1.0,115.0,0.0,0.0,0.0
Goodware,0.0,0.0,12.0,4.0,4.0,26.0,10.0,119.0,1.0,35.0,69.0,28.0,49.0,0.0,0.0,3.0,3.0,4.0,0.0,7.0,462.0,0.0,21.0,7.0,4.0,8.0,0.0,0.0,4.0,302.0,220.0,0.0,106.0,5.0,207.0,51.0,135.0,3.0,54.0,0.0,0.0,1.0,2.0,2.0,0.0,70.0,1.0,2.0,11.0,13.0,0.0,0.0,12.0,4.0,49.0,14.0,4.0,81.0,34.0,13.0,16.0,0.0,0.0,0.0
Goodware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodware,0.0,0.0,0.0,6.0,1.0,0.0,0.0,42.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,75.0,0.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,63.0,230.0,0.0,54.0,18.0,20.0,1.0,82.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,9.0,0.0,25.0,11.0,7.0,7.0,0.0,0.0,0.0
